time,seconds_elapsed,AccelerationZ,AccelerationY,AccelerationX,GyroscopeZ,GyroscopeY,GyroscopeX,Label
1.73e+18,3.870914063,0.116669985,0.201979201,0.314285949,0.075893246,-0.862004161,0.27278164,stretching
1.73e+18,3.880864258,0.249213246,0.506538486,0.104478173,0.098526649,-0.969678164,0.297084838,stretching
1.73e+18,3.890815186,0.311184695,0.689025636,-0.033798152,0.089157209,-1.003793955,0.299313486,stretching
1.73e+18,3.900766113,0.356874725,0.594618336,-0.162746092,0.042336702,-0.969404161,0.279949099,stretching
1.73e+18,3.910717041,0.456179149,0.212376092,-0.199566514,-0.013529236,-0.893200517,0.245553255,stretching
1.73e+18,3.920668213,0.465052191,-0.142056355,-0.075235347,-0.055267628,-0.80782783,0.207003206,stretching
1.73e+18,3.930618164,0.416539651,-0.360293448,0.088232849,-0.071433291,-0.740778983,0.167362288,stretching
1.73e+18,3.940569336,0.39626361,-0.4958242,0.188321883,-0.067616716,-0.705168784,0.122419566,stretching
1.73e+18,3.95052002,0.424156702,-0.549795444,0.17709278,-0.050594211,-0.692237675,0.080957279,stretching
1.73e+18,3.960471191,0.436154014,-0.624502602,0.054518832,-0.038181216,-0.685671091,0.0421497,stretching
1.73e+18,3.970422119,0.383342607,-0.656993252,-0.162616985,-0.03195072,-0.673832059,0.016951492,stretching
1.73e+18,3.980371826,0.331777986,-0.610337883,-0.417659704,-0.034225859,-0.650259137,0.000672921,stretching
1.73e+18,3.990323242,0.278278743,-0.55261284,-0.629729836,-0.039986521,-0.621630132,0.002548679,stretching
1.73e+18,4.00027417,0.137500737,-0.433354008,-0.695195995,-0.042545289,-0.60345006,0.025509655,stretching
1.73e+18,4.010225098,-0.021794483,-0.198673145,-0.667722224,-0.029793542,-0.618860722,0.06152571,stretching
1.73e+18,4.02017627,-0.061344988,0.114582657,-0.506208487,-0.011434508,-0.659742653,0.107957929,stretching
1.73e+18,4.030126221,-0.100831195,0.465195838,-0.378436203,0.012959849,-0.676830888,0.148762047,stretching
1.73e+18,4.040076904,-0.13488544,0.651267275,-0.283672674,0.033607073,-0.664086878,0.16811417,stretching
1.73e+18,4.05002832,0.001587561,0.615900778,-0.242430563,0.045788553,-0.635431945,0.158806369,stretching
1.73e+18,4.059979004,0.235316384,0.377532752,-0.299416406,0.050447218,-0.588659644,0.135122612,stretching
1.73e+18,4.069930176,0.36975978,0.028451018,-0.373129767,0.053905196,-0.51974225,0.105780721,stretching
1.73e+18,4.079880127,0.395172453,-0.254196295,-0.451178966,0.058778781,-0.443790734,0.078337111,stretching
